arch,k,tok_acc,eval_loss
attn,1,0.256836,1.810547
attn,2,0.288086,1.798828
attn,3,0.328125,1.757812
attn,4,0.357422,1.644531
attn,5,0.351562,1.691406
stu,1,0.106445,2.300781
stu,2,0.312500,1.763672
mamba2,1,0.928711,0.190430
mamba2,2,0.302734,1.769531
mamba2,3,0.351562,1.722656
mamba2,4,0.402344,1.603516
mamba2,5,0.392578,1.652344
stu,3,0.115234,2.296875
stu,4,0.359375,1.619141
stu,5,0.114258,2.296875
alt_attn_mamba,1,0.266602,1.808594
alt_attn_mamba,2,0.300781,1.771484
alt_attn_mamba,3,0.344727,1.736328
alt_attn_mamba,4,0.414062,1.580078
alt_attn_mamba,5,0.387695,1.642578
headwise,1,0.262695,1.810547
headwise,2,0.290039,1.796875
headwise,3,0.319336,1.761719
headwise,4,0.341797,1.652344
headwise,5,0.348633,1.707031
