drop,level,n_tasks,n_archs,rho,rho_p,pearson,pearson_p,scale
(none),baseline,62,9,-0.7333333333333334,0.024554150071469705,-0.7439200472769195,0.021551406263593424,50m
aggregation,primitive,55,9,-0.75,0.019942126131992536,-0.7448865428690216,0.021290048220986794,50m
compound,primitive,60,9,-0.7333333333333334,0.024554150071469705,-0.7634489622738599,0.016669927617136166,50m
content_lookup,primitive,56,9,-0.7,0.03576957497026173,-0.7075555801902799,0.03298413218551693,50m
continuous,primitive,59,9,-0.7333333333333334,0.024554150071469705,-0.7452956431200186,0.02118005454349052,50m
filter,primitive,56,9,-0.75,0.019942126131992536,-0.7598499769401249,0.017507568769015647,50m
finite_state,primitive,58,9,-0.7333333333333334,0.024554150071469705,-0.7180344835581703,0.02936060375214941,50m
multi_hop,primitive,47,9,-0.7,0.03576957497026173,-0.7179751219287708,0.029380359848220388,50m
point_retrieval,primitive,55,9,-0.75,0.019942126131992536,-0.7839030201757834,0.01241248069538127,50m
spatial_2d,primitive,50,9,-0.7166666666666667,0.02981803569584528,-0.7367081070220792,0.02356884238979282,50m
family:aggregation,family,51,9,-0.75,0.019942126131992536,-0.7176808331445902,0.029478430238576856,50m
family:compound,family,60,9,-0.7333333333333334,0.024554150071469705,-0.7634489622738599,0.016669927617136166,50m
family:extended,family,56,9,-0.75,0.019942126131992536,-0.7598499769401249,0.017507568769015647,50m
family:multi_hop,family,47,9,-0.7,0.03576957497026173,-0.7179751219287708,0.029380359848220388,50m
family:multimodal,family,47,9,-0.7166666666666667,0.02981803569584528,-0.738213477742005,0.023137871752388905,50m
family:retrieval,family,49,9,-0.75,0.019942126131992536,-0.7419134338956227,0.022100785313068305,50m
(none),baseline,62,4,-0.39999999999999997,0.6,-0.9190889418599949,0.08091105814000521,150m
aggregation,primitive,55,4,-0.39999999999999997,0.6,-0.9128656939435479,0.087134306056452,150m
compound,primitive,60,4,-0.39999999999999997,0.6,-0.9086304981938346,0.09136950180616532,150m
content_lookup,primitive,56,4,-0.39999999999999997,0.6,-0.9450676038364727,0.0549323961635273,150m
continuous,primitive,59,4,-0.39999999999999997,0.6,-0.9187046750128802,0.08129532498711978,150m
filter,primitive,56,4,-0.39999999999999997,0.6,-0.9034373469681062,0.09656265303189393,150m
finite_state,primitive,58,4,-0.39999999999999997,0.6,-0.9243883657227521,0.07561163427724793,150m
multi_hop,primitive,47,4,-0.39999999999999997,0.6,-0.9179070500279864,0.08209294997201355,150m
point_retrieval,primitive,55,4,-0.39999999999999997,0.6,-0.8444002700189924,0.15559972998100768,150m
spatial_2d,primitive,50,4,-0.39999999999999997,0.6,-0.9460118154106909,0.053988184589309096,150m
family:aggregation,family,51,4,-0.39999999999999997,0.6,-0.9188328746073023,0.08116712539269777,150m
family:compound,family,60,4,-0.39999999999999997,0.6,-0.9086304981938346,0.09136950180616532,150m
family:extended,family,56,4,-0.39999999999999997,0.6,-0.9034373469681062,0.09656265303189393,150m
family:multi_hop,family,47,4,-0.39999999999999997,0.6,-0.9179070500279864,0.08209294997201355,150m
family:multimodal,family,47,4,-0.39999999999999997,0.6,-0.9458185173294537,0.054181482670546455,150m
family:retrieval,family,49,4,-0.39999999999999997,0.6,-0.8966628615696032,0.10333713843039671,150m
