scale,arch,step,c4_en_CE,wikitext_103_CE,hellaswag,piqa
50m,alt_attn_mamba,954,4.938441276550293,6.029183864593506,0.25602468848228455,0.5391730070114136
50m,alt_attn_mamba2,954,5.044992446899414,6.142303943634033,0.2551284730434418,0.5473340749740601
50m,alt_attn_stu,954,4.993348598480225,6.127066135406494,0.25532761216163635,0.538084864616394
50m,attn,954,5.046781063079834,6.169163227081299,0.25532761216163635,0.535908579826355
50m,headwise,954,5.10849666595459,6.377066135406494,0.2582154870033264,0.5342763662338257
50m,headwise_mamba2,954,5.07385778427124,6.302685737609863,0.25413262844085693,0.5391730070114136
50m,headwise_stu,954,5.220067977905273,6.49845027923584,0.2515435218811035,0.5375407934188843
50m,lstm,954,5.71962833404541,6.965909004211426,0.2543317973613739,0.519042432308197
50m,mamba,954,5.028928279876709,6.24276876449585,0.2538338899612427,0.5386289358139038
50m,mamba2,954,5.014401435852051,6.173295497894287,0.25473013520240784,0.5462459325790405
50m,stu,954,5.441515922546387,6.673811912536621,0.25144392251968384,0.5418933629989624
150m,alt_attn_mamba,2862,3.8142099380493164,4.325542449951172,0.27315276861190796,0.6082698702812195
150m,alt_attn_mamba2,2862,3.817990779876709,4.328641414642334,0.2750447988510132,0.5957562327384949
150m,attn,2862,3.7736258506774902,4.303589820861816,0.2707628011703491,0.6039173007011414
150m,mamba,2862,4.111791133880615,4.9919939041137695,0.2675761878490448,0.5919477939605713
150m,mamba2,2862,3.8766629695892334,4.531379222869873,0.2768372893333435,0.5946680903434753
