lr,task,arch,tok_acc
1e-4,associative,alt_attn_mamba,0.1220703125
1e-4,associative,attn,0.1240234375
1e-4,associative,mamba,0.0703125
1e-4,associative,stu,0.12890625
1e-4,copy,alt_attn_mamba,1.0
1e-4,copy,attn,1.0
1e-4,copy,mamba,0.017520680147058824
1e-4,copy,stu,0.017497702205882353
1e-4,copy_count,alt_attn_mamba,0.9903245192307693
1e-4,copy_count,attn,0.9902944711538462
1e-4,copy_count,mamba,0.021243990384615385
1e-4,copy_count,stu,0.31409254807692305
1e-4,counting,alt_attn_mamba,0.994140625
1e-4,counting,attn,0.9912109375
1e-4,counting,mamba,0.1328125
1e-4,counting,stu,0.154296875
1e-4,induction,alt_attn_mamba,1.0
1e-4,induction,attn,1.0
1e-4,induction,mamba,0.015625
1e-4,induction,stu,0.0166015625
1e-4,needle,alt_attn_mamba,0.0400390625
1e-4,needle,attn,0.03515625
1e-4,needle,mamba,0.0166015625
1e-4,needle,stu,0.0234375
1e-4,parity,alt_attn_mamba,0.5029296875
1e-4,parity,attn,0.505859375
1e-4,parity,mamba,0.505859375
1e-4,parity,stu,0.505859375
1e-4,selective_copy,alt_attn_mamba,0.6566686222743717
1e-4,selective_copy,attn,0.6263567028454092
1e-4,selective_copy,mamba,0.01720934780483035
1e-4,selective_copy,stu,0.04089664613278576
1e-4,selective_parity,alt_attn_mamba,0.9719036255869448
1e-4,selective_parity,attn,0.9374182126087292
1e-4,selective_parity,mamba,0.09429605111230852
1e-4,selective_parity,stu,0.12516357478254175
1e-4,state_retrieve,alt_attn_mamba,0.9931640625
1e-4,state_retrieve,attn,0.9658203125
1e-4,state_retrieve,mamba,0.6435546875
1e-4,state_retrieve,stu,0.6455078125
1e-4,state_tracking,alt_attn_mamba,0.8310546875
1e-4,state_tracking,attn,0.6455078125
1e-4,state_tracking,mamba,0.9365234375
1e-4,state_tracking,stu,0.31640625
1e-3,associative,alt_attn_mamba,0.1201171875
1e-3,associative,attn,0.1220703125
1e-3,associative,mamba,0.0908203125
1e-3,associative,stu,0.1083984375
1e-3,copy,alt_attn_mamba,1.0
1e-3,copy,attn,1.0
1e-3,copy,mamba,0.017612591911764706
1e-3,copy,stu,0.01729090073529412
1e-3,copy_count,alt_attn_mamba,0.990234375
1e-3,copy_count,attn,0.9903094951923077
1e-3,copy_count,mamba,0.02354266826923077
1e-3,copy_count,stu,0.9811448317307693
1e-3,counting,alt_attn_mamba,0.12109375
1e-3,counting,attn,0.1787109375
1e-3,counting,mamba,0.12109375
1e-3,counting,stu,0.1396484375
1e-3,induction,alt_attn_mamba,1.0
1e-3,induction,attn,1.0
1e-3,induction,mamba,0.0107421875
1e-3,induction,stu,0.0185546875
1e-3,needle,alt_attn_mamba,0.0283203125
1e-3,needle,attn,0.0146484375
1e-3,needle,mamba,0.0302734375
1e-3,needle,stu,0.0205078125
1e-3,parity,alt_attn_mamba,0.505859375
1e-3,parity,attn,0.505859375
1e-3,parity,mamba,0.505859375
1e-3,parity,stu,0.4873046875
1e-3,selective_copy,alt_attn_mamba,0.6767624914442163
1e-3,selective_copy,attn,0.6765424855773932
1e-3,selective_copy,mamba,0.016940451745379878
1e-3,selective_copy,stu,0.05996382125745575
1e-3,selective_parity,alt_attn_mamba,0.9997690708952351
1e-3,selective_parity,attn,0.9995381417904703
1e-3,selective_parity,mamba,0.09406512200754369
1e-3,selective_parity,stu,0.13493957355091987
1e-3,state_retrieve,alt_attn_mamba,0.998046875
1e-3,state_retrieve,attn,0.9912109375
1e-3,state_retrieve,mamba,0.6435546875
1e-3,state_retrieve,stu,0.6435546875
1e-3,state_tracking,alt_attn_mamba,0.9375
1e-3,state_tracking,attn,0.8984375
1e-3,state_tracking,mamba,0.978515625
1e-3,state_tracking,stu,0.3359375
