task,attn,alt_attn_mamba,alt_attn_mamba2,alt_attn_stu,stu,headwise,headwise_mamba2,headwise_stu,mamba,mamba2,lstm
assignment_chain,0.458984375,0.4599609375,0.4541015625,0.431640625,0.2490234375,0.4423828125,0.4462890625,0.4638671875,0.4423828125,0.447265625,0.4599609375
associative,0.1005859375,0.1025390625,0.1005859375,0.0986328125,0.0908203125,0.0517578125,0.0556640625,0.072265625,0.0712890625,,
batch_recall,,,0.157421875,0.151953125,,,0.1431640625,0.1576171875,,,
batch_two_hop,0.3291015625,0.43359375,0.4313151041666667,0.4046223958333333,0.3170572916666667,0.3274739583333333,0.3658854166666667,0.3199869791666667,0.4407552083333333,0.4456380208333333,0.3297526041666667
col_parity,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.458984375,0.4619140625,,
compress,0.998828010547905,0.9999023342123254,0.9998046684246508,0.9999023342123254,0.1493309893544291,0.9995116710616272,0.9999023342123254,0.9995116710616272,0.5784744603965231,,
conditional_recall,0.1591796875,0.166015625,0.16796875,0.1650390625,0.068359375,0.1572265625,0.140625,0.1611328125,0.1552734375,0.1728515625,0.1650390625
copy,1.0,1.0,1.0,1.0,0.0171070772058823,1.0,1.0,1.0,0.0159811580882352,0.2670726102941176,0.017669677734375
copy_count,0.9899038461538462,0.9899038461538462,0.9923677884615384,0.9934945913461538,0.7327824519230769,0.9899038461538462,0.9899489182692308,0.9905198317307692,0.0223106971153846,,
copy_offset,1.0,1.0,1.0,1.0,0.5083537274096386,1.0,1.0,1.0,0.0169545368975903,,
counting,0.9912109375,0.9951171875,0.4248046875,0.9990234375,0.1513671875,0.9130859375,0.23046875,0.96484375,0.111328125,,
cumulative_sum,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,,
deep_hop,0.3603515625,0.4423828125,0.443359375,0.3671875,0.357421875,0.34375,0.3662109375,0.341796875,0.3681640625,0.427734375,0.37890625
delayed_echo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
dual_hop_retrieve,0.85400390625,0.93310546875,0.98486328125,1.0,0.24951171875,0.4697265625,0.73828125,0.2509765625,0.27490234375,0.78662109375,0.2421875
dual_query_hop,0.27587890625,0.2802734375,0.99853515625,0.27978515625,0.18896484375,0.28662109375,0.841796875,0.271484375,0.27392578125,0.3388671875,0.279296875
first_vs_last,0.4208984375,0.966796875,0.576171875,0.4091796875,0.36328125,0.2490234375,0.4150390625,0.2626953125,0.8798828125,0.90625,0.927734375
grid_multihop,0.4267578125,0.36328125,0.451171875,0.3984375,0.18359375,0.2294921875,0.2646484375,0.1865234375,0.2373046875,0.2451171875,0.240234375
grid_retrieval,0.1513671875,1.0,0.1044921875,1.0,0.04296875,0.03125,0.01953125,0.025390625,0.0302734375,,
grid_three_coord,0.1370442708333333,1.0,0.1575520833333333,0.3541666666666667,0.0413411458333333,0.0286458333333333,0.0244140625,0.0276692708333333,0.0179036458333333,0.0358072916666666,0.0367838541666666
grid_two_coord,0.11767578125,1.0,0.09423828125,0.05908203125,0.03955078125,0.0244140625,0.0224609375,0.0283203125,0.02392578125,0.03515625,0.03759765625
hop_distance_bucket,0.599609375,0.62109375,0.6240234375,0.599609375,0.2763671875,0.599609375,0.599609375,0.599609375,0.599609375,0.62890625,0.599609375
induction,1.0,1.0,1.0,1.0,0.01953125,0.8701171875,0.4912109375,0.931640625,0.029296875,,
induction_gap,1.0,1.0,1.0,1.0,0.0146484375,0.8896484375,0.888671875,0.7607421875,0.015625,,
interleave,0.9995691636029412,1.0,0.9997414981617648,1.0,0.1077569699754902,0.4342639399509804,0.332098268995098,0.3905675551470588,0.0169079350490196,,
k_hop,0.275390625,0.296875,0.28515625,0.294921875,0.1806640625,0.2802734375,0.2802734375,0.2822265625,0.3466796875,0.56640625,0.2744140625
last_tagged,0.3193359375,1.0,1.0,0.3173828125,0.3056640625,0.962890625,0.9921875,0.3203125,1.0,1.0,0.8466796875
longest_run,1.0,1.0,1.0,1.0,0.703125,1.0,1.0,0.9951171875,1.0,,
mode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
mode_tagged,0.888671875,1.0,1.0,1.0,0.888671875,0.8896484375,0.8857421875,0.8896484375,0.9150390625,0.9990234375,0.9130859375
multi_induction,1.0,1.0,1.0,1.0,0.0224609375,0.87890625,0.720703125,0.9169921875,0.0068359375,,
multi_state_tracking,0.8759765625,0.9677734375,0.9697265625,0.9306640625,0.44140625,0.97265625,0.990234375,0.9296875,0.9892578125,,
nearest_key,0.140625,0.140625,0.1484375,0.14453125,0.1416015625,0.08203125,0.087890625,0.134765625,0.140625,,
needle,0.0458984375,0.0322265625,0.037109375,0.03515625,0.0224609375,0.0107421875,0.0166015625,0.0244140625,0.017578125,,
nested_3_hop,0.41015625,0.404296875,0.404296875,0.419921875,0.416015625,0.416015625,0.4072265625,0.412109375,0.3984375,0.412109375,0.4052734375
nested_lookup,0.3330078125,0.3427734375,0.341796875,0.33984375,0.3359375,0.33984375,0.3388671875,0.3447265625,0.3291015625,0.3388671875,0.330078125
noisy_copy,0.1181640625,0.9228515625,0.8388671875,0.9931640625,0.0537109375,0.0263671875,0.03515625,0.03515625,0.01171875,,
parity,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,,
patch_match,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,,
pattern_completion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
piecewise_denoise,0.9970933809055118,0.9969857283464568,0.9971318282480316,0.9970087967519684,0.982406496062992,0.9967242864173228,0.9969088336614174,0.996332123523622,0.9451279527559056,,
quad_recall,0.153076171875,0.151611328125,0.147216796875,0.149658203125,0.148681640625,0.142333984375,0.148681640625,0.160400390625,0.143310546875,0.146484375,0.151123046875
reverse_copy,0.9999310661764704,0.9990923713235296,0.9999425551470588,0.9999770220588236,0.0172564338235294,0.1638901654411764,0.1658088235294117,0.1996438419117647,0.1309168198529411,,
running_max,1.0,1.0,1.0,1.0,0.978515625,1.0,1.0,1.0,0.9990234375,,
selective_copy,0.6701747515786383,0.6748494786822654,0.6766116794752558,0.6759508541778844,0.0568065005629252,0.0268980371041166,0.056023300210485,0.1968280385726173,0.0173038327867247,,
selective_parity,0.9985220218740762,1.0,1.0,0.9998522021874076,0.1402601241501626,0.1202335205438959,0.120676913981673,0.1208986107005616,0.0911173514631983,,
set_intersection_count,0.3076171875,0.4609375,0.447265625,0.998046875,0.138671875,0.1064453125,0.2197265625,0.1279296875,0.1279296875,0.9990234375,0.7958984375
short_associative,0.240234375,0.2509765625,0.244140625,0.25,0.255859375,0.2275390625,0.2294921875,0.248046875,0.2265625,,
sort,0.9999655330882352,0.9999540441176472,0.9998161764705882,0.9998736213235294,0.8414292279411765,0.9996323529411764,0.9994944852941176,0.9958869485294116,0.8380974264705883,,
sort_top2,0.67822265625,0.6767578125,0.677734375,0.67724609375,0.63916015625,0.673828125,0.67431640625,0.677734375,0.65380859375,0.6708984375,0.67236328125
state_retrieve,0.98828125,0.998046875,0.9990234375,0.998046875,0.6220703125,0.95703125,0.9912109375,0.9794921875,0.625,,
state_tracking,0.69921875,0.8828125,0.93359375,0.97265625,0.3251953125,0.9150390625,0.9638671875,0.6796875,0.958984375,,
substring_locate,0.248046875,0.19140625,0.3662109375,0.3271484375,0.1474609375,0.1435546875,0.1435546875,0.1630859375,0.1435546875,0.1435546875,0.1435546875
temporal_ordering,0.7353515625,0.4833984375,0.609375,0.79296875,0.53515625,0.5068359375,0.4833984375,0.4833984375,0.537109375,0.5341796875,0.4833984375
three_hop,0.275390625,0.2958984375,0.2685546875,0.2734375,0.0771484375,0.2587890625,0.2783203125,0.2626953125,0.28125,0.328125,0.2724609375
threshold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
token_transition,0.9228515625,0.9912109375,0.955078125,0.9765625,0.5927734375,0.763671875,0.8447265625,0.7666015625,0.5927734375,,
triple_recall,0.1591796875,0.1539713541666666,0.1529947916666666,0.1559244791666666,0.1595052083333333,0.1409505208333333,0.1341145833333333,0.1569010416666666,0.1435546875,0.1477864583333333,0.1552734375
two_hop,0.2294921875,0.2412109375,0.23046875,0.224609375,0.228515625,0.220703125,0.234375,0.2255859375,0.23046875,0.2431640625,0.224609375
union_lookup,0.154296875,0.15234375,0.1533203125,0.1591796875,0.111328125,0.0849609375,0.0947265625,0.1162109375,0.115234375,0.15234375,0.1474609375
variable_lookup,0.2229817708333333,0.2125651041666666,0.2210286458333333,0.2272135416666666,0.1673177083333333,0.2138671875,0.2190755208333333,0.2197265625,0.2060546875,0.2249348958333333,0.2161458333333333
video_cell_mode,0.9189453125,0.99609375,0.3798828125,0.9521484375,0.2001953125,0.2216796875,0.0712890625,0.2255859375,0.19140625,0.884765625,0.2626953125
video_frame_retrieval,0.470703125,1.0,0.2373046875,1.0,0.09765625,0.033203125,0.044921875,0.029296875,0.0244140625,0.10546875,0.1103515625
