task,attn,alt_attn_mamba2,alt_attn_stu,stu,lstm
assignment_chain,0.32421875,0.2802734375,0.2998046875,0.173828125,0.296875
batch_recall,0.095703125,0.09375,0.09814453125,0.0951171875,0.0923828125
batch_two_hop,0.18326822916666666,0.18180338541666666,0.17740885416666666,0.17903645833333334,0.1904296875
conditional_recall,0.11328125,0.1005859375,0.09375,0.046875,0.09765625
deep_hop,0.259765625,0.2109375,0.21484375,0.056640625,0.267578125
dual_hop_retrieve,0.11328125,0.1259765625,0.11962890625,0.1259765625,0.0908203125
dual_query_hop,0.1396484375,0.1240234375,0.12451171875,0.1005859375,0.142578125
first_vs_last,0.4609375,0.2724609375,0.416015625,0.08203125,0.080078125
grid_multihop,0.4296875,0.306640625,0.3974609375,0.16796875,0.216796875
grid_three_coord,0.04296875,0.07063802083333333,0.142578125,0.04296875,0.03125
grid_two_coord,0.0419921875,0.06103515625,0.10302734375,0.0380859375,0.033203125
hop_distance_bucket,0.408203125,0.39453125,0.39453125,0.236328125,0.408203125
k_hop,0.185546875,0.181640625,0.1845703125,0.1171875,0.185546875
last_tagged,0.16796875,0.9990234375,0.1669921875,0.16015625,0.1796875
mode_tagged,0.9140625,0.826171875,0.8271484375,0.82421875,0.830078125
nested_3_hop,0.255859375,0.2333984375,0.236328125,0.263671875,0.251953125
nested_lookup,0.18359375,0.2060546875,0.1884765625,0.1640625,0.18359375
quad_recall,0.09814453125,0.0953369140625,0.09765625,0.09619140625,0.100341796875
set_intersection_count,0.244140625,0.1767578125,0.8671875,0.08203125,0.166015625
sort_top2,0.55859375,0.56396484375,0.56787109375,0.4794921875,0.5576171875
substring_locate,0.0625,0.2109375,0.11328125,0.1015625,0.09765625
temporal_ordering,0.57421875,0.5185546875,0.7177734375,0.50390625,0.50390625
three_hop,0.130859375,0.16015625,0.1552734375,0.0390625,0.119140625
triple_recall,0.09537760416666667,0.0966796875,0.09847005208333333,0.09244791666666667,0.09407552083333333
two_hop,0.119140625,0.1318359375,0.1328125,0.123046875,0.111328125
union_lookup,0.087890625,0.0830078125,0.0810546875,0.0625,0.103515625
variable_lookup,0.1142578125,0.12109375,0.11848958333333333,0.0908203125,0.111328125
video_cell_mode,0.974609375,0.791015625,0.8974609375,0.138671875,0.080078125
video_frame_retrieval,0.025390625,0.0771484375,0.466796875,0.044921875,0.06640625
