task,attn,alt_attn_mamba,alt_attn_mamba2,alt_attn_stu,stu
assignment_chain,0.458984375,0.4599609375,0.4541015625,0.431640625,0.2490234375
associative,0.1005859375,0.1025390625,0.1005859375,0.0986328125,0.0908203125
batch_recall,,,0.157421875,0.151953125,
batch_two_hop,0.3291015625,0.43359375,0.4313151041666667,0.4046223958333333,0.3170572916666667
col_parity,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.4619140625
compress,0.998828010547905,0.9999023342123254,0.9998046684246509,0.9999023342123254,0.14933098935442915
conditional_recall,0.1591796875,0.166015625,0.16796875,0.1650390625,0.068359375
copy,1.0,1.0,1.0,1.0,0.017107077205882355
copy_count,0.9899038461538462,0.9899038461538462,0.9923677884615385,0.9934945913461538,0.7327824519230769
copy_offset,1.0,1.0,1.0,1.0,0.5083537274096386
counting,0.9912109375,0.9951171875,0.4248046875,0.9990234375,0.1513671875
cumulative_sum,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625
deep_hop,0.3603515625,0.4423828125,0.443359375,0.3671875,0.357421875
delayed_echo,1.0,1.0,1.0,1.0,1.0
dual_hop_retrieve,0.85400390625,0.93310546875,0.98486328125,1.0,0.24951171875
dual_query_hop,0.27587890625,0.2802734375,0.99853515625,0.27978515625,0.18896484375
first_vs_last,0.4208984375,0.966796875,0.576171875,0.4091796875,0.36328125
grid_multihop,0.4267578125,0.36328125,0.451171875,0.3984375,0.18359375
grid_retrieval,0.1513671875,1.0,0.1044921875,1.0,0.04296875
grid_three_coord,0.13704427083333334,1.0,0.15755208333333334,0.3541666666666667,0.041341145833333336
grid_two_coord,0.11767578125,1.0,0.09423828125,0.05908203125,0.03955078125
hop_distance_bucket,0.599609375,0.62109375,0.6240234375,0.599609375,0.2763671875
induction,1.0,1.0,1.0,1.0,0.01953125
induction_gap,1.0,1.0,1.0,1.0,0.0146484375
interleave,0.9995691636029411,1.0,0.9997414981617647,1.0,0.1077569699754902
k_hop,0.275390625,0.296875,0.28515625,0.294921875,0.1806640625
last_tagged,0.3193359375,1.0,1.0,0.3173828125,0.3056640625
longest_run,1.0,1.0,1.0,1.0,0.703125
mode,1.0,1.0,1.0,1.0,1.0
mode_tagged,0.888671875,1.0,1.0,1.0,0.888671875
multi_induction,1.0,1.0,1.0,1.0,0.0224609375
multi_state_tracking,0.8759765625,0.9677734375,0.9697265625,0.9306640625,0.44140625
nearest_key,0.140625,0.140625,0.1484375,0.14453125,0.1416015625
needle,0.0458984375,0.0322265625,0.037109375,0.03515625,0.0224609375
nested_3_hop,0.41015625,0.404296875,0.404296875,0.419921875,0.416015625
nested_lookup,0.3330078125,0.3427734375,0.341796875,0.33984375,0.3359375
noisy_copy,0.1181640625,0.9228515625,0.8388671875,0.9931640625,0.0537109375
parity,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875
patch_match,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375
pattern_completion,1.0,1.0,1.0,1.0,1.0
piecewise_denoise,0.9970933809055118,0.9969857283464567,0.9971318282480315,0.9970087967519685,0.9824064960629921
quad_recall,0.153076171875,0.151611328125,0.147216796875,0.149658203125,0.148681640625
reverse_copy,0.9999310661764705,0.9990923713235295,0.9999425551470589,0.9999770220588236,0.017256433823529413
running_max,1.0,1.0,1.0,1.0,0.978515625
selective_copy,0.6701747515786383,0.6748494786822654,0.6766116794752558,0.6759508541778844,0.05680650056292525
selective_parity,0.9985220218740762,1.0,1.0,0.9998522021874077,0.1402601241501626
set_intersection_count,0.3076171875,0.4609375,0.447265625,0.998046875,0.138671875
short_associative,0.240234375,0.2509765625,0.244140625,0.25,0.255859375
sort,0.9999655330882353,0.9999540441176471,0.9998161764705882,0.9998736213235294,0.8414292279411765
sort_top2,0.67822265625,0.6767578125,0.677734375,0.67724609375,0.63916015625
state_retrieve,0.98828125,0.998046875,0.9990234375,0.998046875,0.6220703125
state_tracking,0.69921875,0.8828125,0.93359375,0.97265625,0.3251953125
substring_locate,0.248046875,0.19140625,0.3662109375,0.3271484375,0.1474609375
temporal_ordering,0.7353515625,0.4833984375,0.609375,0.79296875,0.53515625
three_hop,0.275390625,0.2958984375,0.2685546875,0.2734375,0.0771484375
threshold,1.0,1.0,1.0,1.0,1.0
token_transition,0.9228515625,0.9912109375,0.955078125,0.9765625,0.5927734375
triple_recall,0.1591796875,0.15397135416666666,0.15299479166666666,0.15592447916666666,0.15950520833333334
two_hop,0.2294921875,0.2412109375,0.23046875,0.224609375,0.228515625
union_lookup,0.154296875,0.15234375,0.1533203125,0.1591796875,0.111328125
variable_lookup,0.22298177083333334,0.21256510416666666,0.22102864583333334,0.22721354166666666,0.16731770833333334
video_cell_mode,0.9189453125,0.99609375,0.3798828125,0.9521484375,0.2001953125
video_frame_retrieval,0.470703125,1.0,0.2373046875,1.0,0.09765625
