task,headwise_mamba2,headwise_stu,stu,attn,lstm
assignment_chain,0.2255859375,0.2802734375,0.173828125,0.32421875,0.296875
batch_recall,0.09599609375,0.09345703125,0.0951171875,0.095703125,0.0923828125
batch_two_hop,0.1796875,0.17594401041666666,0.17903645833333334,0.18326822916666666,0.1904296875
conditional_recall,0.0517578125,0.0576171875,0.046875,0.11328125,0.09765625
deep_hop,0.1533203125,0.1962890625,0.056640625,0.259765625,0.267578125
dual_hop_retrieve,0.0771484375,0.1015625,0.1259765625,0.11328125,0.0908203125
dual_query_hop,0.08251953125,0.11181640625,0.1005859375,0.1396484375,0.142578125
first_vs_last,0.078125,0.1337890625,0.08203125,0.4609375,0.080078125
grid_multihop,0.3115234375,0.287109375,0.16796875,0.4296875,0.216796875
grid_three_coord,0.027994791666666668,0.029296875,0.04296875,0.04296875,0.03125
grid_two_coord,0.0244140625,0.033203125,0.0380859375,0.0419921875,0.033203125
hop_distance_bucket,0.39453125,0.2314453125,0.236328125,0.408203125,0.408203125
k_hop,0.166015625,0.1806640625,0.1171875,0.185546875,0.185546875
last_tagged,0.5615234375,0.1455078125,0.16015625,0.16796875,0.1796875
mode_tagged,0.818359375,0.8291015625,0.82421875,0.9140625,0.830078125
nested_3_hop,0.2373046875,0.224609375,0.263671875,0.255859375,0.251953125
nested_lookup,0.1806640625,0.1962890625,0.1640625,0.18359375,0.18359375
quad_recall,0.0870361328125,0.0970458984375,0.09619140625,0.09814453125,0.100341796875
set_intersection_count,0.0703125,0.1240234375,0.08203125,0.244140625,0.166015625
sort_top2,0.5615234375,0.568359375,0.4794921875,0.55859375,0.5576171875
substring_locate,0.07421875,0.07421875,0.1015625,0.0625,0.09765625
temporal_ordering,0.4912109375,0.4912109375,0.50390625,0.57421875,0.50390625
three_hop,0.1259765625,0.173828125,0.0390625,0.130859375,0.119140625
triple_recall,0.08203125,0.09847005208333333,0.09244791666666667,0.09537760416666667,0.09407552083333333
two_hop,0.0595703125,0.11328125,0.123046875,0.119140625,0.111328125
union_lookup,0.0400390625,0.025390625,0.0625,0.087890625,0.103515625
variable_lookup,0.10856119791666667,0.11002604166666667,0.0908203125,0.1142578125,0.111328125
video_cell_mode,0.0439453125,0.072265625,0.138671875,0.974609375,0.080078125
video_frame_retrieval,0.0341796875,0.0390625,0.044921875,0.025390625,0.06640625
