task,headwise,headwise_mamba2,headwise_stu,stu,attn
assignment_chain,0.4423828125,0.4462890625,0.4638671875,0.2490234375,0.458984375
associative,0.0517578125,0.0556640625,0.072265625,0.0908203125,0.1005859375
batch_recall,,0.1431640625,0.1576171875,,
batch_two_hop,0.3274739583333333,0.3658854166666667,0.3199869791666667,0.3170572916666667,0.3291015625
col_parity,0.4619140625,0.4619140625,0.458984375,0.4619140625,0.4619140625
compress,0.9995116710616271,0.9999023342123254,0.9995116710616271,0.14933098935442915,0.998828010547905
conditional_recall,0.1572265625,0.140625,0.1611328125,0.068359375,0.1591796875
copy,1.0,1.0,1.0,0.017107077205882355,1.0
copy_count,0.9899038461538462,0.9899489182692308,0.9905198317307692,0.7327824519230769,0.9899038461538462
copy_offset,1.0,1.0,1.0,0.5083537274096386,1.0
counting,0.9130859375,0.23046875,0.96484375,0.1513671875,0.9912109375
cumulative_sum,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625
deep_hop,0.34375,0.3662109375,0.341796875,0.357421875,0.3603515625
delayed_echo,1.0,1.0,1.0,1.0,1.0
dual_hop_retrieve,0.4697265625,0.73828125,0.2509765625,0.24951171875,0.85400390625
dual_query_hop,0.28662109375,0.841796875,0.271484375,0.18896484375,0.27587890625
first_vs_last,0.2490234375,0.4150390625,0.2626953125,0.36328125,0.4208984375
grid_multihop,0.2294921875,0.2646484375,0.1865234375,0.18359375,0.4267578125
grid_retrieval,0.03125,0.01953125,0.025390625,0.04296875,0.1513671875
grid_three_coord,0.028645833333333332,0.0244140625,0.027669270833333332,0.041341145833333336,0.13704427083333334
grid_two_coord,0.0244140625,0.0224609375,0.0283203125,0.03955078125,0.11767578125
hop_distance_bucket,0.599609375,0.599609375,0.599609375,0.2763671875,0.599609375
induction,0.8701171875,0.4912109375,0.931640625,0.01953125,1.0
induction_gap,0.8896484375,0.888671875,0.7607421875,0.0146484375,1.0
interleave,0.4342639399509804,0.33209826899509803,0.3905675551470588,0.1077569699754902,0.9995691636029411
k_hop,0.2802734375,0.2802734375,0.2822265625,0.1806640625,0.275390625
last_tagged,0.962890625,0.9921875,0.3203125,0.3056640625,0.3193359375
longest_run,1.0,1.0,0.9951171875,0.703125,1.0
mode,1.0,1.0,1.0,1.0,1.0
mode_tagged,0.8896484375,0.8857421875,0.8896484375,0.888671875,0.888671875
multi_induction,0.87890625,0.720703125,0.9169921875,0.0224609375,1.0
multi_state_tracking,0.97265625,0.990234375,0.9296875,0.44140625,0.8759765625
nearest_key,0.08203125,0.087890625,0.134765625,0.1416015625,0.140625
needle,0.0107421875,0.0166015625,0.0244140625,0.0224609375,0.0458984375
nested_3_hop,0.416015625,0.4072265625,0.412109375,0.416015625,0.41015625
nested_lookup,0.33984375,0.3388671875,0.3447265625,0.3359375,0.3330078125
noisy_copy,0.0263671875,0.03515625,0.03515625,0.0537109375,0.1181640625
parity,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875
patch_match,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375
pattern_completion,1.0,1.0,1.0,1.0,1.0
piecewise_denoise,0.9967242864173228,0.9969088336614174,0.996332123523622,0.9824064960629921,0.9970933809055118
quad_recall,0.142333984375,0.148681640625,0.160400390625,0.148681640625,0.153076171875
reverse_copy,0.16389016544117646,0.16580882352941176,0.1996438419117647,0.017256433823529413,0.9999310661764705
running_max,1.0,1.0,1.0,0.978515625,1.0
selective_copy,0.026898037104116698,0.05602330021048509,0.19682803857261735,0.05680650056292525,0.6701747515786383
selective_parity,0.12023352054389595,0.12067691398167307,0.12089861070056163,0.1402601241501626,0.9985220218740762
set_intersection_count,0.1064453125,0.2197265625,0.1279296875,0.138671875,0.3076171875
short_associative,0.2275390625,0.2294921875,0.248046875,0.255859375,0.240234375
sort,0.9996323529411765,0.9994944852941177,0.9958869485294117,0.8414292279411765,0.9999655330882353
sort_top2,0.673828125,0.67431640625,0.677734375,0.63916015625,0.67822265625
state_retrieve,0.95703125,0.9912109375,0.9794921875,0.6220703125,0.98828125
state_tracking,0.9150390625,0.9638671875,0.6796875,0.3251953125,0.69921875
substring_locate,0.1435546875,0.1435546875,0.1630859375,0.1474609375,0.248046875
temporal_ordering,0.5068359375,0.4833984375,0.4833984375,0.53515625,0.7353515625
three_hop,0.2587890625,0.2783203125,0.2626953125,0.0771484375,0.275390625
threshold,1.0,1.0,1.0,1.0,1.0
token_transition,0.763671875,0.8447265625,0.7666015625,0.5927734375,0.9228515625
triple_recall,0.14095052083333334,0.13411458333333334,0.15690104166666666,0.15950520833333334,0.1591796875
two_hop,0.220703125,0.234375,0.2255859375,0.228515625,0.2294921875
union_lookup,0.0849609375,0.0947265625,0.1162109375,0.111328125,0.154296875
variable_lookup,0.2138671875,0.21907552083333334,0.2197265625,0.16731770833333334,0.22298177083333334
video_cell_mode,0.2216796875,0.0712890625,0.2255859375,0.2001953125,0.9189453125
video_frame_retrieval,0.033203125,0.044921875,0.029296875,0.09765625,0.470703125
