task,alt_attn_mamba,alt_attn_mamba2,headwise,headwise_mamba2,attn,mamba,mamba2
assignment_chain,0.4599609375,0.4541015625,0.4423828125,0.4462890625,0.458984375,0.4423828125,0.447265625
associative,0.1025390625,0.1005859375,0.0517578125,0.0556640625,0.1005859375,0.0712890625,
batch_recall,,0.157421875,,0.1431640625,,,
batch_two_hop,0.43359375,0.4313151041666667,0.3274739583333333,0.3658854166666667,0.3291015625,0.4407552083333333,0.4456380208333333
col_parity,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.4619140625,0.4619140625,
compress,0.9999023342123254,0.9998046684246509,0.9995116710616271,0.9999023342123254,0.998828010547905,0.5784744603965231,
conditional_recall,0.166015625,0.16796875,0.1572265625,0.140625,0.1591796875,0.1552734375,0.1728515625
copy,1.0,1.0,1.0,1.0,1.0,0.015981158088235293,0.26707261029411766
copy_count,0.9899038461538462,0.9923677884615385,0.9899038461538462,0.9899489182692308,0.9899038461538462,0.022310697115384616,
copy_offset,1.0,1.0,1.0,1.0,1.0,0.016954536897590362,
counting,0.9951171875,0.4248046875,0.9130859375,0.23046875,0.9912109375,0.111328125,
cumulative_sum,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,0.119140625,
deep_hop,0.4423828125,0.443359375,0.34375,0.3662109375,0.3603515625,0.3681640625,0.427734375
delayed_echo,1.0,1.0,1.0,1.0,1.0,1.0,
dual_hop_retrieve,0.93310546875,0.98486328125,0.4697265625,0.73828125,0.85400390625,0.27490234375,0.78662109375
dual_query_hop,0.2802734375,0.99853515625,0.28662109375,0.841796875,0.27587890625,0.27392578125,0.3388671875
first_vs_last,0.966796875,0.576171875,0.2490234375,0.4150390625,0.4208984375,0.8798828125,0.90625
grid_multihop,0.36328125,0.451171875,0.2294921875,0.2646484375,0.4267578125,0.2373046875,0.2451171875
grid_retrieval,1.0,0.1044921875,0.03125,0.01953125,0.1513671875,0.0302734375,
grid_three_coord,1.0,0.15755208333333334,0.028645833333333332,0.0244140625,0.13704427083333334,0.017903645833333332,0.035807291666666664
grid_two_coord,1.0,0.09423828125,0.0244140625,0.0224609375,0.11767578125,0.02392578125,0.03515625
hop_distance_bucket,0.62109375,0.6240234375,0.599609375,0.599609375,0.599609375,0.599609375,0.62890625
induction,1.0,1.0,0.8701171875,0.4912109375,1.0,0.029296875,
induction_gap,1.0,1.0,0.8896484375,0.888671875,1.0,0.015625,
interleave,1.0,0.9997414981617647,0.4342639399509804,0.33209826899509803,0.9995691636029411,0.016907935049019607,
k_hop,0.296875,0.28515625,0.2802734375,0.2802734375,0.275390625,0.3466796875,0.56640625
last_tagged,1.0,1.0,0.962890625,0.9921875,0.3193359375,1.0,1.0
longest_run,1.0,1.0,1.0,1.0,1.0,1.0,
mode,1.0,1.0,1.0,1.0,1.0,1.0,
mode_tagged,1.0,1.0,0.8896484375,0.8857421875,0.888671875,0.9150390625,0.9990234375
multi_induction,1.0,1.0,0.87890625,0.720703125,1.0,0.0068359375,
multi_state_tracking,0.9677734375,0.9697265625,0.97265625,0.990234375,0.8759765625,0.9892578125,
nearest_key,0.140625,0.1484375,0.08203125,0.087890625,0.140625,0.140625,
needle,0.0322265625,0.037109375,0.0107421875,0.0166015625,0.0458984375,0.017578125,
nested_3_hop,0.404296875,0.404296875,0.416015625,0.4072265625,0.41015625,0.3984375,0.412109375
nested_lookup,0.3427734375,0.341796875,0.33984375,0.3388671875,0.3330078125,0.3291015625,0.3388671875
noisy_copy,0.9228515625,0.8388671875,0.0263671875,0.03515625,0.1181640625,0.01171875,
parity,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,0.513671875,
patch_match,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,0.49609375,
pattern_completion,1.0,1.0,1.0,1.0,1.0,1.0,
piecewise_denoise,0.9969857283464567,0.9971318282480315,0.9967242864173228,0.9969088336614174,0.9970933809055118,0.9451279527559056,
quad_recall,0.151611328125,0.147216796875,0.142333984375,0.148681640625,0.153076171875,0.143310546875,0.146484375
reverse_copy,0.9990923713235295,0.9999425551470589,0.16389016544117646,0.16580882352941176,0.9999310661764705,0.13091681985294118,
running_max,1.0,1.0,1.0,1.0,1.0,0.9990234375,
selective_copy,0.6748494786822654,0.6766116794752558,0.026898037104116698,0.05602330021048509,0.6701747515786383,0.017303832786724753,
selective_parity,1.0,1.0,0.12023352054389595,0.12067691398167307,0.9985220218740762,0.09111735146319834,
set_intersection_count,0.4609375,0.447265625,0.1064453125,0.2197265625,0.3076171875,0.1279296875,0.9990234375
short_associative,0.2509765625,0.244140625,0.2275390625,0.2294921875,0.240234375,0.2265625,
sort,0.9999540441176471,0.9998161764705882,0.9996323529411765,0.9994944852941177,0.9999655330882353,0.8380974264705883,
sort_top2,0.6767578125,0.677734375,0.673828125,0.67431640625,0.67822265625,0.65380859375,0.6708984375
state_retrieve,0.998046875,0.9990234375,0.95703125,0.9912109375,0.98828125,0.625,
state_tracking,0.8828125,0.93359375,0.9150390625,0.9638671875,0.69921875,0.958984375,
substring_locate,0.19140625,0.3662109375,0.1435546875,0.1435546875,0.248046875,0.1435546875,0.1435546875
temporal_ordering,0.4833984375,0.609375,0.5068359375,0.4833984375,0.7353515625,0.537109375,0.5341796875
three_hop,0.2958984375,0.2685546875,0.2587890625,0.2783203125,0.275390625,0.28125,0.328125
threshold,1.0,1.0,1.0,1.0,1.0,1.0,
token_transition,0.9912109375,0.955078125,0.763671875,0.8447265625,0.9228515625,0.5927734375,
triple_recall,0.15397135416666666,0.15299479166666666,0.14095052083333334,0.13411458333333334,0.1591796875,0.1435546875,0.14778645833333334
two_hop,0.2412109375,0.23046875,0.220703125,0.234375,0.2294921875,0.23046875,0.2431640625
union_lookup,0.15234375,0.1533203125,0.0849609375,0.0947265625,0.154296875,0.115234375,0.15234375
variable_lookup,0.21256510416666666,0.22102864583333334,0.2138671875,0.21907552083333334,0.22298177083333334,0.2060546875,0.22493489583333334
video_cell_mode,0.99609375,0.3798828125,0.2216796875,0.0712890625,0.9189453125,0.19140625,0.884765625
video_frame_retrieval,1.0,0.2373046875,0.033203125,0.044921875,0.470703125,0.0244140625,0.10546875
