task,arch,seed_mean_tok_acc,seed_std,n_seeds,seed1,seed2,seed3,seed4,seed5
assignment_chain,attn,0.47402,0.02047,5,0.47266,0.45117,0.45215,0.49316,0.50098
assignment_chain,mamba,0.46133,0.01601,5,0.45117,0.44629,0.44824,0.47559,0.48535
assignment_chain,mamba2,0.46563,0.02619,5,0.46777,0.43652,0.44043,0.47461,0.50879
assignment_chain,alt_attn_mamba,0.4748,0.01936,5,0.48047,0.44922,0.45508,0.49219,0.49707
assignment_chain,alt_attn_stu,0.47441,0.02207,5,0.47461,0.44336,0.45703,0.5,0.49707
assignment_chain,headwise,0.46621,0.02101,5,0.45898,0.43555,0.45703,0.48633,0.49316
assignment_chain,stu,0.24902,0.01291,5,0.24121,0.23926,0.25098,0.24023,0.27344
associative,attn,0.13105,0.00663,5,0.12793,0.12695,0.125,0.13184,0.14355
associative,mamba,0.07617,0.00674,5,0.08105,0.07422,0.07715,0.08398,0.06445
associative,mamba2,0.11465,0.0067,5,0.11133,0.10352,0.11719,0.11816,0.12305
associative,alt_attn_mamba,0.13242,0.00968,5,0.12012,0.13379,0.12402,0.13672,0.14746
associative,alt_attn_stu,0.12539,0.00448,5,0.12012,0.12695,0.12012,0.12891,0.13086
associative,headwise,0.05234,0.00948,5,0.04297,0.05762,0.04199,0.05176,0.06738
associative,stu,0.12832,0.00692,5,0.11719,0.13281,0.12402,0.13086,0.13672
batch_recall,attn,0.15105,0.00642,5,0.15273,0.1459,0.16113,0.15293,0.14258
batch_recall,mamba,0.14645,0.0062,5,0.15215,0.15156,0.14043,0.15059,0.1375
batch_recall,mamba2,0.14707,0.00341,5,0.14746,0.14238,0.15195,0.14922,0.14434
batch_recall,alt_attn_mamba,0.15488,0.00549,5,0.15566,0.1625,0.15801,0.15195,0.14629
batch_recall,alt_attn_stu,0.1527,0.00657,5,0.15977,0.14375,0.15605,0.15801,0.1459
batch_recall,headwise,0.14945,0.00701,5,0.15488,0.14844,0.15879,0.14668,0.13848
batch_recall,stu,0.15266,0.00551,5,0.15293,0.14941,0.15957,0.15723,0.14414
batch_two_hop,attn,0.3252,0.01044,5,0.32845,0.34342,0.32259,0.31868,0.31283
batch_two_hop,mamba,0.44284,0.00638,5,0.44173,0.45508,0.43848,0.44173,0.43717
batch_two_hop,mamba2,0.40677,0.01768,5,0.43229,0.42253,0.39193,0.40039,0.38672
batch_two_hop,alt_attn_mamba,0.44642,0.0087,5,0.45573,0.45801,0.44173,0.43978,0.43685
batch_two_hop,alt_attn_stu,0.40625,0.01671,5,0.40397,0.42285,0.38411,0.42741,0.3929
batch_two_hop,headwise,0.32747,0.00761,5,0.31771,0.33724,0.33529,0.32552,0.32161
batch_two_hop,stu,0.30944,0.00809,5,0.3112,0.32227,0.30827,0.30859,0.29688
col_parity,attn,0.50762,0.01118,5,0.50293,0.52441,0.50879,0.51172,0.49023
col_parity,mamba,0.50762,0.01118,5,0.50293,0.52441,0.50879,0.51172,0.49023
col_parity,mamba2,0.49785,0.01335,5,0.50293,0.47559,0.50879,0.51172,0.49023
col_parity,alt_attn_mamba,0.50391,0.00744,5,0.50293,0.50586,0.50879,0.51172,0.49023
col_parity,alt_attn_stu,0.50762,0.01118,5,0.50293,0.52441,0.50879,0.51172,0.49023
col_parity,headwise,0.50938,0.01189,5,0.50293,0.52441,0.51758,0.51172,0.49023
col_parity,stu,0.49766,0.01368,5,0.50293,0.47461,0.50879,0.51172,0.49023
compress,attn,0.99959,0.00023,5,0.99922,0.99951,0.99971,0.9999,0.99961
compress,mamba,0.59595,0.04939,5,0.56754,0.59355,0.54825,0.58029,0.69011
compress,mamba2,0.9565,0.0356,5,0.91933,0.9792,0.98613,0.99043,0.90741
compress,alt_attn_mamba,0.99971,0.00019,5,0.9999,0.9999,0.99941,0.99961,0.99971
compress,alt_attn_stu,0.99988,4e-05,5,0.9999,0.9999,0.9998,0.9999,0.9999
compress,headwise,0.9991,0.0006,5,0.9998,0.99961,0.99873,0.99922,0.99814
compress,stu,0.14883,0.00219,5,0.14767,0.14932,0.15267,0.14837,0.14611
conditional_recall,attn,0.1791,0.00792,5,0.16992,0.16992,0.18848,0.18652,0.18066
conditional_recall,mamba,0.16289,0.007,5,0.1582,0.16113,0.17676,0.15918,0.15918
conditional_recall,mamba2,0.17441,0.00879,5,0.16406,0.16504,0.18262,0.1748,0.18555
conditional_recall,alt_attn_mamba,0.17324,0.01027,5,0.16602,0.15918,0.17676,0.1748,0.18945
conditional_recall,alt_attn_stu,0.17715,0.01058,5,0.15918,0.1709,0.18652,0.18457,0.18457
conditional_recall,headwise,0.16699,0.01364,5,0.14844,0.16016,0.16211,0.17676,0.1875
conditional_recall,stu,0.09824,0.00725,5,0.0918,0.08789,0.10742,0.10254,0.10156
copy,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy,mamba,0.0169,0.00051,5,0.01761,0.017,0.01642,0.01722,0.01622
copy,mamba2,0.03337,0.00883,5,0.02809,0.0269,0.05041,0.02791,0.03352
copy,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy,stu,0.01725,0.00034,5,0.01746,0.01744,0.01681,0.01766,0.0169
copy_count,attn,0.99081,0.00054,5,0.99087,0.99121,0.99156,0.9902,0.99019
copy_count,mamba,0.02271,0.00058,5,0.02169,0.0227,0.02342,0.02305,0.02267
copy_count,mamba2,0.04556,0.0048,5,0.04787,0.03927,0.04059,0.04836,0.05171
copy_count,alt_attn_mamba,0.99052,0.00029,5,0.99031,0.99093,0.99079,0.99017,0.99041
