task,metric,150m-attn,150m-mamba2,150m-alt-attn-mamba2,50m-attn,50m-mamba2,50m-alt-attn-mamba2,50m-headwise-mamba2
arc_easy,eval/downstream/arc_easy_acc,0.3649,0.3772,0.3825,0.3175,0.3000,0.3053,0.2947
arc_easy_ppl,eval/downstream_ce_loss/arc_easy_ppl_ce_loss,1.5152,1.4849,1.5360,1.7223,1.6858,1.7037,1.7189
commonsense_qa,eval/downstream/commonsense_qa_len_norm,0.2662,0.2621,0.2686,0.2383,0.2367,0.2342,0.2228
hellaswag,eval/downstream/hellaswag_len_norm,0.2708,0.2768,0.2744,0.2553,0.2547,0.2553,0.2539
natural_qs_open_ppl,eval/downstream_ce_loss/natural_qs_open_ppl_ce_loss,1.9182,1.8616,1.8860,2.1757,2.1358,2.1493,2.1462
openbook_qa,eval/downstream/openbook_qa_len_norm,0.2680,0.2580,0.2640,0.2640,0.2640,0.2660,0.2600
piqa,eval/downstream/piqa_len_norm,0.6039,0.5947,0.5979,0.5359,0.5462,0.5462,0.5408
sciq,eval/downstream/sciq_acc,0.5540,0.5330,0.5490,0.2560,0.2550,0.2690,0.2520
social_iqa,eval/downstream/social_iqa_len_norm,0.4084,0.3982,0.4028,0.3961,0.3941,0.3925,0.3987
trivia_qa_wiki_ppl,eval/downstream_ce_loss/trivia_qa_wiki_ppl_ce_loss,2.1869,2.1282,2.2111,2.5720,2.5519,2.5219,2.5264
winogrande,eval/downstream/winogrande_acc,0.5075,0.4980,0.4972,0.5138,0.5004,0.5036,0.5083
